Name,Nickname,City,State,Conference
Georgia Tech,Yellow Jackets,Atlanta,Georgia,ACC
Hawaii,Rainbow Warriors,Honolulu,Hawai'i,Mountain West
Houston,Cougars,Houston,Texas,American[n 3]
Illinois,Fighting Illini,Urbana–Champaign,Illinois,Big Ten
Indiana,Hoosiers,Bloomington,Indiana,Big Ten
Iowa,Hawkeyes,Iowa City,Iowa,Big Ten
Iowa State,Cyclones,Ames,Iowa,Big 12
James Madison,Dukes,Harrisonburg,Virginia,Sun Belt[n 6]
Kansas,Jayhawks,Lawrence,Kansas,Big 12
Kansas State,Wildcats,Manhattan,Kansas,Big 12
Kent State,Golden Flashes,Kent,Ohio,MAC
Kentucky,Wildcats,Lexington,Kentucky,SEC
Liberty,Flames,Lynchburg,Virginia,Independent[n 7]
Louisiana,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt
Louisiana–Monroe,Warhawks,Monroe,Louisiana,Sun Belt
Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA
Louisville,Cardinals,Louisville,Kentucky,ACC
LSU,Tigers,Baton Rouge,Louisiana,SEC
Marshall,Thundering Herd,Huntington,West Virginia,Sun Belt
Maryland,Terrapins,College Park,Maryland,Big Ten
Memphis,Tigers,Memphis,Tennessee,American
Miami (FL),Hurricanes,Coral Gables[n 8],Florida,ACC
Miami (OH),RedHawks,Oxford,Ohio,MAC
Michigan,Wolverines,Ann Arbor,Michigan,Big Ten
Michigan State,Spartans,East Lansing,Michigan,Big Ten
Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,C-USA
Minnesota,Golden Gophers,Minneapolis,Minnesota,Big Ten
Mississippi State,Bulldogs,Starkville[n 10],Mississippi,SEC
Missouri,Tigers,Columbia,Missouri,SEC
Navy,Midshipmen,Annapolis,Maryland,American
NC State,Wolfpack,Raleigh,North Carolina,ACC
Nebraska,Cornhuskers,Lincoln,Nebraska,Big Ten
Nevada,Wolf Pack,Reno,Nevada,Mountain West
New Mexico,Lobos,Albuquerque,New Mexico,Mountain West
New Mexico State,Aggies,Las Cruces,New Mexico,Independent[n 7]
North Carolina,Tar Heels,Chapel Hill,North Carolina,ACC
North Texas,Mean Green,Denton,Texas,C-USA[n 4]
Northern Illinois,Huskies,DeKalb,Illinois,MAC
Northwestern,Wildcats,Evanston,Illinois,Big Ten
Notre Dame,Fighting Irish,South Bend,Indiana,Independent
Ohio,Bobcats,Athens,Ohio,MAC
Ohio State,Buckeyes,Columbus,Ohio,Big Ten
Oklahoma,Sooners,Norman,Oklahoma,Big 12[n 11]
Oklahoma State,Cowboys,Stillwater,Oklahoma,Big 12
Old Dominion,Monarchs,Norfolk,Virginia,Sun Belt
Ole Miss,Rebels,Oxford,Mississippi,SEC
Oregon,Ducks,Eugene,Oregon,Pac-12
Oregon State,Beavers,Corvallis,Oregon,Pac-12
Penn State,Nittany Lions,University Park[n 12],Pennsylvania,Big Ten
Pittsburgh,Panthers,Pittsburgh[n 13],Pennsylvania,ACC
Purdue,Boilermakers,West Lafayette,Indiana,Big Ten
Rice,Owls,Houston,Texas,C-USA[n 4]
Rutgers,Scarlet Knights,Piscataway[n 14],New Jersey,Big Ten
San Diego State,Aztecs,San Diego,California,Mountain West
San Jose State,Spartans,San Jose,California,Mountain West
SMU,Mustangs,University Park[n 15],Texas,American
South Alabama,Jaguars,Mobile,Alabama,Sun Belt
South Carolina,Gamecocks,Columbia,South Carolina,SEC
South Florida,Bulls,Tampa[n 16],Florida,American
Southern Miss,Golden Eagles,Hattiesburg,Mississippi,Sun Belt
Stanford,Cardinal,Stanford[n 17],California,Pac-12
Syracuse,Orange,Syracuse,New York,ACC
TCU,Horned Frogs,Fort Worth,Texas,Big 12
Temple,Owls,Philadelphia[n 18],Pennsylvania,American
Tennessee,Volunteers,Knoxville,Tennessee,SEC
Texas,Longhorns,Austin,Texas,Big 12[n 11]
Texas A&M,Aggies,College Station,Texas,SEC
Texas State,Bobcats,San Marcos,Texas,Sun Belt
Texas Tech,Red Raiders,Lubbock,Texas,Big 12
Toledo,Rockets,Toledo,Ohio,MAC
Troy,Trojans,Troy,Alabama,Sun Belt
Tulane,Green Wave,New Orleans,Louisiana,American
Tulsa,Golden Hurricane,Tulsa,Oklahoma,American
UAB,Blazers,Birmingham,Alabama,C-USA[n 4]
UCF,Knights,Orlando,Florida,American[n 3]
UCLA,Bruins,Los Angeles,California,Pac-12[n 19]
UConn,Huskies,Storrs[n 20],Connecticut,Independent
UMass,Minutemen,Amherst,Massachusetts,Independent
UNLV,Rebels,Las Vegas[n 21],Nevada,Mountain West
USC,Trojans,Los Angeles,California,Pac-12[n 19]
UTEP,Miners,El Paso,Texas,C-USA
UTSA,Roadrunners,San Antonio,Texas,C-USA[n 4]
Utah,Utes,Salt Lake City,Utah,Pac-12
Utah State,Aggies,Logan,Utah,Mountain West
Vanderbilt,Commodores,Nashville,Tennessee,SEC
Virginia,Cavaliers,Charlottesville,Virginia,ACC
Virginia Tech,Hokies,Blacksburg,Virginia,ACC
Wake Forest,Demon Deacons,Winston-Salem,North Carolina,ACC
Washington,Huskies,Seattle,Washington,Pac-12
Washington State,Cougars,Pullman,Washington,Pac-12
West Virginia,Mountaineers,Morgantown,West Virginia,Big 12
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,C-USA
Western Michigan,Broncos,Kalamazoo,Michigan,MAC
Wisconsin,Badgers,Madison,Wisconsin,Big Ten
Wyoming,Cowboys,Laramie,Wyoming,Mountain West
Abilene Christian,Wildcats,Abilene,Texas,WAC
Alabama A&M,Bulldogs,Normal,Alabama,SWAC
Alabama State,Hornets,Montgomery,Alabama,SWAC
Albany,Great Danes,Albany,New York,CAA
Alcorn State,Braves,Lorman,Mississippi,SWAC
Arkansas–Pine Bluff,Golden Lions,Pine Bluff,Arkansas,SWAC
Austin Peay,Governors,Clarksville,Tennessee,ASUN
Bethune–Cookman,Wildcats,Daytona Beach,Florida,SWAC
Brown,Bears,Providence,Rhode Island,Ivy
Bryant,Bulldogs,Smithfield,Rhode Island,Big South[a]
Bucknell,Bison,Lewisburg,Pennsylvania,Patriot
Butler,Bulldogs,Indianapolis,Indiana,Pioneer
Cal Poly,Mustangs,San Luis Obispo,California,Big Sky
Campbell,Fighting Camels,Buies Creek,North Carolina,Big South[a][b]
Central Arkansas,Bears,Conway,Arkansas,ASUN
Central Connecticut,Blue Devils,New Britain,Connecticut,Northeast
Charleston Southern,Buccaneers,North Charleston,South Carolina,Big South[a]
Chattanooga,Mocs,Chattanooga,Tennessee,Southern
The Citadel,Bulldogs,Charleston,South Carolina,Southern
Colgate,Raiders,Hamilton,New York,Patriot
Columbia,Lions,New York,New York,Ivy
Cornell,Big Red,Ithaca,New York,Ivy
Dartmouth,Big Green,Hanover,New Hampshire,Ivy
Davidson,Wildcats,Davidson,North Carolina,Pioneer
Dayton,Flyers,Dayton,Ohio,Pioneer
Delaware,Fightin' Blue Hens,Newark,Delaware,CAA
Delaware State,Hornets,Dover,Delaware,MEAC
Drake,Bulldogs,Des Moines,Iowa,Pioneer
Duquesne,Dukes,Pittsburgh,Pennsylvania,Northeast
East Tennessee State,Buccaneers,Johnson City,Tennessee,Southern
Eastern Illinois,Panthers,Charleston,Illinois,Ohio Valley[a]
Eastern Kentucky,Colonels,Richmond,Kentucky,ASUN
Eastern Washington,Eagles,Cheney,Washington,Big Sky
Elon,Phoenix,Elon,North Carolina,CAA
Florida A&M,Rattlers,Tallahassee,Florida,SWAC
Fordham,Rams,New York,New York,Patriot
Furman,Paladins,Greenville,South Carolina,Southern
Gardner–Webb,Runnin' Bulldogs,Boiling Springs,North Carolina,Big South[a]
Georgetown,Hoyas,Washington,D.C.,Patriot
Grambling,Tigers,Grambling,Louisiana,SWAC
Hampton,Pirates,Hampton,Virginia,CAA
Harvard,Crimson,Cambridge[c],Massachusetts,Ivy
Holy Cross,Crusaders,Worcester,Massachusetts,Patriot
Houston Christian,Huskies,Houston,Texas,Southland
Howard,Bison,Washington,D.C.,MEAC
Idaho,Vandals,Moscow,Idaho,Big Sky[d]
Idaho State,Bengals,Pocatello,Idaho,Big Sky
Illinois State,Redbirds,Normal,Illinois,Missouri Valley
Incarnate Word,Cardinals,San Antonio,Texas,Southland
Indiana State,Sycamores,Terre Haute,Indiana,Missouri Valley
Jackson State,Tigers,Jackson,Mississippi,SWAC
Jacksonville State,Gamecocks,Jacksonville,Alabama,ASUN[e]
Kennesaw State,Owls,Kennesaw,Georgia,ASUN
Lafayette,Leopards,Easton,Pennsylvania,Patriot
Lamar,Cardinals,Beaumont,Texas,Southland
Lehigh,Mountain Hawks,Bethlehem,Pennsylvania,Patriot
LIU[f],Sharks,Brookville,New York,Northeast
Maine,Black Bears,Orono,Maine,CAA
Marist,Red Foxes,Poughkeepsie,New York,Pioneer
McNeese,Cowboys,Lake Charles,Louisiana,Southland
Mercer,Bears,Macon,Georgia,Southern
Mississippi Valley State,Delta Devils,Itta Bena,Mississippi,SWAC
Missouri State,Bears,Springfield,Missouri,Missouri Valley
Monmouth,Hawks,West Long Branch,New Jersey,CAA
Montana,Grizzlies,Missoula,Montana,Big Sky
Montana State,Bobcats,Bozeman,Montana,Big Sky
Morehead State,Eagles,Morehead,Kentucky,Pioneer
Morgan State,Bears,Baltimore,Maryland,MEAC
Murray State,Racers,Murray,Kentucky,Ohio Valley[h]
New Hampshire,Wildcats,Durham,New Hampshire,CAA
Nicholls,Colonels,Thibodaux,Louisiana,Southland
Norfolk State,Spartans,Norfolk,Virginia,MEAC
North Alabama,Lions,Florence,Alabama,ASUN
North Carolina A&T,Aggies,Greensboro,North Carolina,Big South[i]
North Carolina Central,Eagles,Durham,North Carolina,MEAC
North Dakota,Fighting Hawks,Grand Forks,North Dakota,Missouri Valley
North Dakota State,Bison,Fargo,North Dakota,Missouri Valley
Northern Arizona,Lumberjacks,Flagstaff,Arizona,Big Sky
Northern Colorado,Bears,Greeley,Colorado,Big Sky
Northern Iowa,Panthers,Cedar Falls,Iowa,Missouri Valley
Northwestern State,Demons,Natchitoches,Louisiana,Southland
Penn,Quakers,Philadelphia,Pennsylvania,Ivy
Portland State,Vikings,Portland[j],Oregon,Big Sky
Prairie View A&M,Panthers,Prairie View,Texas,SWAC
Presbyterian,Blue Hose,Clinton,South Carolina,Pioneer
Princeton,Tigers,Princeton,New Jersey,Ivy
Rhode Island,Rams,Kingston,Rhode Island,CAA
Richmond,Spiders,Richmond,Virginia,CAA
Robert Morris,Colonials,Moon Township,Pennsylvania,Big South[k][a]
Sacramento State,Hornets,Sacramento,California,Big Sky
Sacred Heart,Pioneers,Fairfield,Connecticut,Northeast
Saint Francis (PA),Red Flash,Loretto,Pennsylvania,Northeast
Sam Houston,Bearkats,Huntsville,Texas,WAC[e]
Samford,Bulldogs,Birmingham,Alabama,Southern
San Diego,Toreros,San Diego,California,Pioneer
South Carolina State,Bulldogs,Orangeburg,South Carolina,MEAC
South Dakota,Coyotes,Vermillion,South Dakota,Missouri Valley
South Dakota State,Jackrabbits,Brookings,South Dakota,Missouri Valley
Southeast Missouri State,Redhawks,Cape Girardeau,Missouri,Ohio Valley[a]
Southeastern Louisiana,Lions,Hammond,Louisiana,Southland
Southern,Jaguars,Baton Rouge,Louisiana,SWAC
Southern Illinois,Salukis,Carbondale,Illinois,Missouri Valley
Southern Utah,Thunderbirds,Cedar City,Utah,WAC
Stephen F. Austin,Lumberjacks,Nacogdoches,Texas,WAC
Stetson,Hatters,DeLand,Florida,Pioneer
Stony Brook,Seawolves,Stony Brook,New York,CAA
Tennessee State,Tigers,Nashville,Tennessee,Ohio Valley[a]
Tennessee Tech,Golden Eagles,Cookeville,Tennessee,Ohio Valley[a]
Texas Southern,Tigers,Houston,Texas,SWAC
Towson,Tigers,Towson,Maryland,CAA
UC Davis,Aggies,Davis,California,Big Sky
UT Martin,Skyhawks,Martin,Tennessee,Ohio Valley[a]
Valparaiso,Beacons,Valparaiso,Indiana,Pioneer
Villanova,Wildcats,Villanova,Pennsylvania,CAA
VMI,Keydets,Lexington,Virginia,Southern
Wagner,Seahawks,New York,New York,Northeast
Weber State,Wildcats,Ogden,Utah,Big Sky
Western Carolina,Catamounts,Cullowhee,North Carolina,Southern
Western Illinois,Leathernecks,Macomb,Illinois,Missouri Valley
William & Mary,Tribe,Williamsburg,Virginia,CAA
Wofford,Terriers,Spartanburg,South Carolina,Southern
Yale,Bulldogs,New Haven,Connecticut,Ivy
Youngstown State,Penguins,Youngstown,Ohio,Missouri Valley
